product_code,product_name,ciqual_code,alcohol_value,alcohol_unit,alcohol_source,beta-carotene_value,beta-carotene_unit,beta-carotene_source,calcium_value,calcium_unit,calcium_source,carbohydrates_value,carbohydrates_unit,carbohydrates_source,cholesterol_value,cholesterol_unit,cholesterol_source,copper_value,copper_unit,copper_source,energy-kcal_value,energy-kcal_unit,energy-kcal_source,energy-kj_value,energy-kj_unit,energy-kj_source,energy_value,energy_unit,energy_source,fat_value,fat_unit,fat_source,fiber_value,fiber_unit,fiber_source,fructose_value,fructose_unit,fructose_source,galactose_value,galactose_unit,galactose_source,glucose_value,glucose_unit,glucose_source,iodine_value,iodine_unit,iodine_source,iron_value,iron_unit,iron_source,lactose_value,lactose_unit,lactose_source,magnesium_value,magnesium_unit,magnesium_source,maltose_value,maltose_unit,maltose_source,manganese_value,manganese_unit,manganese_source,pantothenic-acid_value,pantothenic-acid_unit,pantothenic-acid_source,phosphorus_value,phosphorus_unit,phosphorus_source,polyols_value,polyols_unit,polyols_source,potassium_value,potassium_unit,potassium_source,proteins_value,proteins_unit,proteins_source,salt_value,salt_unit,salt_source,saturated-fat_value,saturated-fat_unit,saturated-fat_source,selenium_value,selenium_unit,selenium_source,sodium_value,sodium_unit,sodium_source,starch_value,starch_unit,starch_source,sucrose_value,sucrose_unit,sucrose_source,sugars_value,sugars_unit,sugars_source,vitamin-a_value,vitamin-a_unit,vitamin-a_source,vitamin-b12_value,vitamin-b12_unit,vitamin-b12_source,vitamin-b1_value,vitamin-b1_unit,vitamin-b1_source,vitamin-b2_value,vitamin-b2_unit,vitamin-b2_source,vitamin-b6_value,vitamin-b6_unit,vitamin-b6_source,vitamin-b9_value,vitamin-b9_unit,vitamin-b9_source,vitamin-c_value,vitamin-c_unit,vitamin-c_source,vitamin-d_value,vitamin-d_unit,vitamin-d_source,vitamin-e_value,vitamin-e_unit,vitamin-e_source,vitamin-pp_value,vitamin-pp_unit,vitamin-pp_source,water_value,water_unit,water_source,zinc_value,zinc_unit,zinc_source
3580281350058,Pois cassés verts,20515,0.0,g,ciqual,89.0,µg,ciqual,37.4,mg,ciqual,35,g,reported,0.0,mg,ciqual,0.75,mg,ciqual,299,kcal,reported,,,,1251,kcal,reported,1.2,g,reported,25,g,reported,0.1,g,ciqual,0,g,ciqual,0.15,g,ciqual,0.5,µg,ciqual,5.16,mg,ciqual,0.1,g,ciqual,65.5,mg,ciqual,0.1,g,ciqual,1.21,mg,ciqual,1.88,mg,ciqual,364.0,mg,ciqual,0,g,ciqual,969.0,mg,ciqual,24,g,reported,0.05,g,reported,0.5,g,reported,14.0,µg,ciqual,0.02,g,reported,0,g,ciqual,2.51,g,ciqual,8,g,reported,,,,0.0,µg,ciqual,,,,,,,0.12,mg,ciqual,6.5e-05,µg,reported,1.4,mg,ciqual,0.0,µg,ciqual,0.09,mg,ciqual,,,,8.33,g,ciqual,3.68,mg,ciqual
7616600709873,Séré maigre,,0,% vol,reported,,,,,,,7,g,reported,,,,,,,,,,280,kJ,reported,280,kJ,reported,0.1,g,reported,0,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,g,reported,0,g,reported,0.1,g,reported,,,,0,g,reported,,,,,,,7,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250390890270,COULOMMIERS  LP 350G,12010,0.0,g,ciqual,0,µg,ciqual,0.405,mg,reported,0.5,g,reported,85.0,mg,ciqual,0.07,mg,ciqual,283,kcal,reported,1186,kJ,reported,1186,kJ,reported,24,g,reported,0,g,reported,0.3,g,ciqual,0,g,ciqual,0,g,ciqual,28.0,µg,ciqual,0.23,mg,ciqual,0,g,ciqual,21.7,mg,ciqual,0.3,g,ciqual,0.0,mg,ciqual,0,mg,ciqual,185.0,mg,ciqual,0.0,g,ciqual,165.0,mg,ciqual,17,g,reported,1.4,g,reported,17,g,reported,5.0,µg,ciqual,0.56,g,reported,0.0,g,ciqual,0.3,g,ciqual,0,g,reported,,,,0,µg,ciqual,,,,,,,0,mg,ciqual,,,,0,mg,ciqual,0,µg,ciqual,0.6,mg,ciqual,,,,56.0,g,ciqual,3.28,mg,ciqual
3410280002484,épinards Hachés surgelés,20083,0.0,g,ciqual,7040.0,µg,ciqual,159.0,mg,ciqual,2.3,g,reported,0.0,mg,ciqual,0.12,mg,ciqual,28,kcal,reported,,,,117,kcal,reported,0.6,g,reported,2.5,g,reported,0.15,g,ciqual,0.0,g,ciqual,0.2,g,ciqual,3.4,µg,ciqual,2.28,mg,ciqual,0.0,g,ciqual,50.5,mg,ciqual,0.15,g,ciqual,0.53,mg,ciqual,0.11,mg,ciqual,47.7,mg,ciqual,0,g,ciqual,398.0,mg,ciqual,2.1,g,reported,0.09,g,reported,0.3,g,reported,0.1,µg,ciqual,0.036,g,reported,0.0,g,ciqual,0.25,g,ciqual,1.1,g,reported,,,,0.0,µg,ciqual,,,,,,,0.18,mg,ciqual,,,,21.4,mg,ciqual,0.0,µg,ciqual,2.9,mg,ciqual,,,,91.6,g,ciqual,0.49,mg,ciqual
3580281315163,Fèves entières,20518,0.0,g,ciqual,32.0,µg,ciqual,103.0,mg,ciqual,33,g,reported,0.0,mg,ciqual,0.82,mg,ciqual,301,kcal,reported,1267,kJ,reported,1267,kJ,reported,1.5,g,reported,25,g,reported,0,g,ciqual,0,g,ciqual,0,g,ciqual,0,µg,ciqual,6.7,mg,ciqual,0,g,ciqual,192.0,mg,ciqual,0,g,ciqual,1.63,mg,ciqual,0.98,mg,ciqual,421.0,mg,ciqual,0,g,ciqual,1060.0,mg,ciqual,26,g,reported,0.03,g,reported,0.2,g,reported,0,µg,ciqual,0.012,g,reported,0,g,ciqual,0,g,ciqual,5.7,g,reported,,,,0.0,µg,ciqual,,,,,,,0.37,mg,ciqual,,,,1.4,mg,ciqual,0.0,µg,ciqual,0.05,mg,ciqual,,,,11.0,g,ciqual,3.14,mg,ciqual
3250391071869,Fromage blanc 3% de matière grasse,,,,,,,,,,,4.3,g,reported,,,,,,,72,kcal,reported,301,kJ,reported,301,kJ,reported,3,g,reported,0,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,g,reported,0.1,g,reported,2,g,reported,,,,0.04,g,reported,,,,,,,4.3,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22139030,Mozzarella,19590,0,,reported,57.0,µg,ciqual,545.0,mg,ciqual,1.5,g,reported,79.0,mg,ciqual,0.011,mg,ciqual,,,,1015,kj,reported,1015,kj,reported,18,g,reported,0,g,reported,0.1,g,ciqual,0.1,g,ciqual,0.1,g,ciqual,37.2,µg,ciqual,0.44,mg,ciqual,0.7,g,ciqual,20.0,mg,ciqual,0.1,g,ciqual,0.03,mg,ciqual,0.14,mg,ciqual,354.0,mg,ciqual,0.0,g,ciqual,76.0,mg,ciqual,19,g,reported,0.6,g,reported,11,g,reported,16.3,µg,ciqual,0.24,g,reported,0.0,g,ciqual,0.1,g,ciqual,1.5,g,reported,,,,2.28,µg,ciqual,,,,,,,0.037,mg,ciqual,,,,0.0,mg,ciqual,0.4,µg,ciqual,0.19,mg,ciqual,,,,62.7,g,ciqual,2.92,mg,ciqual
8715035110700,Naturally Brewed Soy Sauce,11104,0.0,g,ciqual,0.0,µg,ciqual,27.3,mg,ciqual,3.2,g,reported,0.0,mg,ciqual,0.044,mg,ciqual,77,kcal,reported,325,kJ,reported,325,kJ,reported,0,g,reported,0.86,g,ciqual,0.3,g,ciqual,0,g,ciqual,0.75,g,ciqual,1.0,µg,ciqual,1.72,mg,ciqual,0,g,ciqual,83.7,mg,ciqual,0.3,g,ciqual,0.46,mg,ciqual,0.34,mg,ciqual,128.0,mg,ciqual,0.0,g,ciqual,547.0,mg,ciqual,10,g,reported,16.9,g,reported,0,g,reported,10.0,µg,ciqual,6.76,g,reported,0.5,g,ciqual,0.3,g,ciqual,0.6,g,reported,,,,0.0,µg,ciqual,,,,,,,0.17,mg,ciqual,,,,0.0,mg,ciqual,0.0,µg,ciqual,0.0,mg,ciqual,,,,68.9,g,ciqual,0.4,mg,ciqual
4056489141877,Huile d'olive vierge extra,17270,0.0,g,ciqual,210.0,µg,ciqual,0.2,mg,ciqual,0,g,reported,0.0,mg,ciqual,0.01,mg,ciqual,820,kcal,reported,,,,3431,kcal,reported,91,g,reported,0.0,g,ciqual,0.0,g,ciqual,0.0,g,ciqual,0.0,g,ciqual,20.0,µg,ciqual,0.05,mg,ciqual,0.0,g,ciqual,0.05,mg,ciqual,0.0,g,ciqual,0.01,mg,ciqual,0.0,mg,ciqual,0.3,mg,ciqual,0.0,g,ciqual,0.3,mg,ciqual,0,g,reported,0,g,reported,12.7,g,reported,20.0,µg,ciqual,0,g,reported,0.0,g,ciqual,0.0,g,ciqual,0,g,reported,,,,0.0,µg,ciqual,,,,,,,0.0,mg,ciqual,,,,0.0,mg,ciqual,0.25,µg,ciqual,22.3,mg,ciqual,,,,0.1,g,ciqual,0.05,mg,ciqual
4056489379874,Thon listao huile d’olive,,,,,,,,,,,1.3,g,reported,,,,,,,391,kcal,reported,,,,1636,kcal,reported,34,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,g,reported,1,g,reported,21,g,reported,,,,0.4,g,reported,,,,,,,1.3,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111950001928,Pois chiches,20516,0.0,g,ciqual,40.0,µg,ciqual,90.5,mg,ciqual,53,g,reported,0.0,mg,ciqual,0.71,mg,ciqual,315,kcal,reported,,,,1318,kcal,reported,0.8,g,reported,13.3,g,ciqual,0.2,g,ciqual,0,g,ciqual,0.2,g,ciqual,0.6,µg,ciqual,5.36,mg,ciqual,0.2,g,ciqual,120.0,mg,ciqual,0.2,g,ciqual,2.2,mg,ciqual,1.59,mg,ciqual,276.0,mg,ciqual,0,g,ciqual,759.0,mg,ciqual,21.7,g,reported,0.01,g,reported,0.6,g,reported,2.0,µg,ciqual,0.004,g,reported,40.0,g,ciqual,2.3,g,ciqual,2.2,g,reported,,,,0.0,µg,ciqual,,,,,,,0.48,mg,ciqual,,,,3.5,mg,ciqual,0.0,µg,ciqual,3.1,mg,ciqual,,,,8.99,g,ciqual,1.88,mg,ciqual
3250392130091,Filets de colin d'alaska 1 kg (2100/02987),26006,0.0,g,ciqual,0.0,µg,ciqual,12.8,mg,ciqual,0,g,reported,48.4,mg,ciqual,0.039,mg,ciqual,62,kcal,reported,300,kJ,reported,300,kJ,reported,0.7,g,reported,0.2,g,reported,0.15,g,ciqual,0.0,g,ciqual,0.3,g,ciqual,78.2,µg,ciqual,0.4,mg,ciqual,0.0,g,ciqual,36.9,mg,ciqual,0.15,g,ciqual,0.014,mg,ciqual,0.16,mg,ciqual,160.0,mg,ciqual,0.0,g,ciqual,296.0,mg,ciqual,16,g,reported,0.21,g,reported,0.2,g,reported,15.7,µg,ciqual,0.084,g,reported,0.0,g,ciqual,0.3,g,ciqual,0,g,reported,,,,2.3,µg,ciqual,,,,,,,0.14,mg,ciqual,,,,0.0,mg,ciqual,1.1,µg,ciqual,0.36,mg,ciqual,,,,81.2,g,ciqual,0.41,mg,ciqual
24089609,Fish Fingers,,,,,,,,,,,15,g,reported,,,,,,,179,kcal,reported,,,,749,kcal,reported,7.9,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,g,reported,0.98,g,reported,1,g,reported,,,,0.392,g,reported,,,,,,,0.5,g,reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3175680015228,Levure de bière,11009,0,% vol,reported,5.0,µg,ciqual,130.0,mg,ciqual,12,g,reported,0.7,mg,ciqual,0.39,mg,ciqual,323,kcal,reported,1356,kJ,reported,1356,kJ,reported,4.6,g,reported,25,g,reported,0.2,g,ciqual,0,g,ciqual,0.3,g,ciqual,20.0,µg,ciqual,4.1,mg,ciqual,0.2,g,ciqual,150.0,mg,ciqual,2.2,g,ciqual,0.89,mg,ciqual,0.007,g,reported,1.204,g,reported,0.0,g,ciqual,1700.0,mg,ciqual,46,g,reported,0.32,g,reported,0.8,g,reported,20.0,µg,ciqual,0.128,g,reported,3.7,g,ciqual,0.2,g,ciqual,1.2,g,reported,,,,0.34,µg,ciqual,0.03,g,reported,0.0025,g,reported,0.88,mg,ciqual,0.002394,g,reported,0.5,mg,ciqual,0.25,µg,ciqual,0.098,mg,ciqual,0.015,g,reported,5.0,g,ciqual,8.4,mg,ciqual
4104420146426,Sesam ungeschält,15010,0.0,g,ciqual,5.0,µg,ciqual,962.0,mg,ciqual,2,g,reported,0.0,mg,ciqual,1.58,mg,ciqual,607,kcal,reported,2507,kJ,reported,2507,kJ,reported,53,g,reported,13,g,reported,0,g,ciqual,0,g,ciqual,0,g,ciqual,5.0,µg,ciqual,14.6,mg,ciqual,0,g,ciqual,324.0,mg,ciqual,0,g,ciqual,1.24,mg,ciqual,0.05,mg,ciqual,605.0,mg,ciqual,0,g,ciqual,468.0,mg,ciqual,24,g,reported,0.01,g,reported,8.3,g,reported,26.5,µg,ciqual,0.004,g,reported,0.4,g,ciqual,0,g,ciqual,0.5,g,reported,,,,0.0,µg,ciqual,,,,,,,0.79,mg,ciqual,,,,0.0,mg,ciqual,0.0,µg,ciqual,0.25,mg,ciqual,,,,3.48,g,ciqual,5.74,mg,ciqual
4099200179193,Tofu natur,20904,0.0,g,ciqual,5.0,µg,ciqual,100.0,mg,ciqual,0,g,reported,0.0,mg,ciqual,0.24,mg,ciqual,126,kcal,reported,528,kJ,reported,528,kJ,reported,7.99,g,reported,0.5,g,ciqual,0.1,g,ciqual,0.1,g,ciqual,0.18,g,ciqual,20.0,µg,ciqual,2.4,mg,ciqual,0.1,g,ciqual,100.0,mg,ciqual,0.1,g,ciqual,0.93,mg,ciqual,0.14,mg,ciqual,210.0,mg,ciqual,0.0,g,ciqual,140.0,mg,ciqual,13,g,reported,0.02,g,reported,1.4,g,reported,20.0,µg,ciqual,0.008,g,reported,0.35,g,ciqual,0.39,g,ciqual,0,g,reported,,,,0.0,µg,ciqual,,,,,,,0.028,mg,ciqual,,,,0.5,mg,ciqual,0.25,µg,ciqual,0.71,mg,ciqual,,,,73.8,g,ciqual,1.3,mg,ciqual
3564707138628,1% cacao maigre non sucré,18100,0.0,g,ciqual,5.0,µg,ciqual,140.0,mg,ciqual,15,g,reported,0.0,mg,ciqual,3.9,mg,ciqual,330,kcal,reported,,,,1381,kcal,reported,11,g,reported,31,g,reported,0.2,g,ciqual,0,g,ciqual,0.2,g,ciqual,20.0,µg,ciqual,48.5,mg,ciqual,0.2,g,ciqual,500.0,mg,ciqual,0.2,g,ciqual,4.1,mg,ciqual,0.82,mg,ciqual,690.0,mg,ciqual,0.5,g,ciqual,3900.0,mg,ciqual,28,g,reported,0,g,reported,6.9,g,reported,20.0,µg,ciqual,0,g,reported,8.5,g,ciqual,0.9,g,ciqual,0.5,g,reported,,,,0.0,µg,ciqual,,,,,,,0.01,mg,ciqual,,,,0.5,mg,ciqual,2.73,µg,ciqual,0.61,mg,ciqual,,,,3.5,g,ciqual,6.4,mg,ciqual
